137.56,0.74
137.56,0.75
137.56,0.76
137.57,0.77
137.57,0.78
137.57,0.8
137.58,0.81
137.58,0.82
137.58,0.83
137.58,0.84
137.59,0.85
137.59,0.86
137.59,0.88
137.6,0.89
137.6,0.9
137.6,0.91
137.6,0.92
137.61,0.93
137.61,0.95
137.61,0.96
137.62,0.97
137.62,0.98
137.62,0.99
137.62,1.0
137.63,1.02
137.63,1.03
137.63,1.04
137.63,1.05
137.64,1.06
137.64,1.07
137.64,1.09
137.64,1.1
137.65,1.11
137.65,1.12
137.65,1.13
137.65,1.14
137.65,1.16
137.66,1.17
137.66,1.18
137.66,1.19
137.66,1.2
137.67,1.21
137.67,1.22
137.67,1.24
137.67,1.25
137.67,1.26
137.68,1.27
137.68,1.28
137.68,1.29
137.68,1.31
137.69,1.32
137.69,1.33
137.69,1.34
137.69,1.35
137.69,1.36
137.7,1.38
137.7,1.39
137.7,1.4
137.7,1.41
137.71,1.42
137.71,1.43
137.71,1.45
137.71,1.46
137.72,1.47
137.72,1.48
137.72,1.49
137.72,1.5
137.73,1.52
137.73,1.53
137.73,1.54
137.73,1.55
137.73,1.56
137.74,1.57
137.74,1.58
137.74,1.6
137.74,1.61
137.74,1.62
137.75,1.63
137.75,1.64
137.75,1.65
137.75,1.67
137.75,1.68
137.75,1.69
137.75,1.7
137.76,1.71
137.76,1.72
137.76,1.74
137.76,1.75
137.76,1.76
137.76,1.77
137.77,1.78
137.77,1.79
137.77,1.81
137.77,1.82
137.77,1.83
137.78,1.84
137.78,1.85
137.78,1.86
137.78,1.88
137.78,1.89
137.79,1.9
137.79,1.91
137.79,1.92
137.79,1.93
137.8,1.94
137.8,1.96
137.8,1.97
137.8,1.98
137.8,1.99
137.81,2.0
137.81,2.01
137.81,2.03
137.81,2.04
137.82,2.05
137.82,2.06
137.82,2.07
137.82,2.08
137.82,2.1
137.83,2.11
137.83,2.12
137.83,2.13
137.83,2.14
137.83,2.15
137.84,2.17
137.84,2.18
137.84,2.19
137.84,2.2
137.84,2.21
137.85,2.22
137.85,2.23
137.85,2.25
137.85,2.26
137.85,2.27
137.85,2.28
137.86,2.29
137.86,2.3
137.86,2.32
137.86,2.33
137.86,2.34
137.86,2.35
137.87,2.36
137.87,2.37
137.87,2.39
137.87,2.4
137.87,2.41
137.87,2.42
137.88,2.43
137.88,2.44
137.88,2.46
137.88,2.47
137.88,2.48
137.88,2.49
137.89,2.5
137.89,2.51
137.89,2.53
137.89,2.54
137.9,2.55
137.9,2.56
137.9,2.57
137.9,2.58
137.9,2.59
137.91,2.61
137.91,2.62
137.91,2.63
137.91,2.64
137.92,2.65
137.92,2.66
137.92,2.68
